mass, coupling
1.03861e-3, 3.70348e-14
1.10494e-3, 4.10972e-14
1.17550e-3, 4.5958e-14
1.25057e-3, 5.09336e-14
1.33044e-3, 5.61585e-14
1.41540e-3, 6.18399e-14
1.50579e-3, 6.76599e-14
1.60195e-3, 7.40276e-14
1.70425e-3, 8.09947e-14
1.81309e-3, 8.86176e-14
1.92887e-3, 9.68336e-14
2.05205e-3, 1.04513e-13
2.18958e-3, 1.16474e-13
2.32360e-3, 1.25873e-13
2.47083e-3, 1.38763e-13
2.62229e-3, 1.50767e-13
2.79649e-3, 1.66968e-13
2.98067e-3, 1.85998e-13
3.16507e-3, 2.02981e-13
3.36720e-3, 2.2209e-13
3.58224e-3, 2.48033e-13
3.81102e-3, 2.76658e-13
4.05440e-3, 3.0819e-13
4.31333e-3, 3.43315e-13
4.58880e-3, 3.82937e-13
4.88185e-3, 4.2713e-13
5.19363e-3, 4.78879e-13
5.52532e-3, 5.36208e-13
5.87819e-3, 6.01172e-13
6.25360e-3, 6.75741e-13
6.65298e-3, 7.57611e-13
7.07787e-3, 8.51584e-13
7.52990e-3, 9.58443e-13
8.01079e-3, 1.07872e-12
8.52241e-3, 1.21721e-12
9.06669e-3, 1.37523e-12
9.64575e-3, 1.55778e-12
1.02618e-2, 1.7623e-12
1.09172e-2, 1.99622e-12
1.16144e-2, 2.27284e-12
1.23562e-2, 2.58116e-12
1.31453e-2, 2.93508e-12
1.39849e-2, 3.35041e-12
1.48780e-2, 3.83435e-12
1.58282e-2, 4.37132e-12
1.68392e-2, 5.00273e-12
1.79146e-2, 5.71798e-12
1.90588e-2, 6.56074e-12
2.02760e-2, 7.53739e-12
2.15710e-2, 8.63721e-12
2.29487e-2, 9.92296e-12
2.44144e-2, 1.14588e-11
2.59737e-2, 1.31985e-11
2.76326e-2, 1.52219e-11
2.93975e-2, 1.75555e-11
3.12751e-2, 2.03248e-11
3.32726e-2, 2.36221e-11
3.53977e-2, 2.7419e-11
3.76585e-2, 3.17853e-11
4.00637e-2, 3.7132e-11
4.26226e-2, 4.33782e-11
4.53449e-2, 5.06751e-11
4.82412e-2, 5.95043e-11
5.13224e-2, 7.01419e-11
5.46004e-2, 8.19409e-11
5.80878e-2, 9.64653e-11
6.17979e-2, 1.13565e-10
6.57451e-2, 1.34211e-10
6.99443e-2, 1.58611e-10
7.44118e-2, 1.87447e-10
7.91646e-2, 2.21526e-10
8.42211e-2, 2.63149e-10
8.96005e-2, 3.1179e-10
9.53235e-2, 3.70373e-10
1.01412e-1, 4.41663e-10
1.07890e-1, 5.26674e-10
1.14781e-1, 6.30475e-10
1.22112e-1, 7.53764e-10
1.29912e-1, 9.04643e-10
1.38210e-1, 1.08852e-09
1.47038e-1, 1.3182e-09
1.56431e-1, 1.60046e-09
1.66423e-1, 1.94817e-09
1.77053e-1, 2.38977e-09
1.88363e-1, 2.94278e-09
2.00396e-1, 3.63776e-09
2.13197e-1, 4.50844e-09
2.26815e-1, 5.6019e-09
2.41304e-1, 6.97847e-09
2.56719e-1, 8.72688e-09
2.73118e-1, 1.09274e-08
2.90565e-1, 1.38241e-08
3.09127e-1, 1.74663e-08
3.28875e-1, 2.25844e-08
3.49886e-1, 2.9542e-08
3.72240e-1, 3.94455e-08
3.94911e-1, 5.43676e-08
4.15441e-1, 7.42494e-08
4.28508e-1, 8.82854e-08
