"mass","coupling"
0.00103861,3.70348e-14
0.00110494,4.10972e-14
0.0011755,4.5958e-14
0.00125057,5.09336e-14
0.00133044,5.61585e-14
0.0014154,6.18399e-14
0.00150579,6.76599e-14
0.00160195,7.40276e-14
0.00170425,8.09947e-14
0.00181309,8.86176e-14
0.00192887,9.68336e-14
0.00205205,1.04513e-13
0.00218958,1.16474e-13
0.0023236,1.25873e-13
0.00247083,1.38763e-13
0.00262229,1.50767e-13
0.00279649,1.66968e-13
0.00298067,1.85998e-13
0.00316507,2.02981e-13
0.0033672,2.2209e-13
0.00358224,2.48033e-13
0.00381102,2.76658e-13
0.0040544,3.0819e-13
0.00431333,3.43315e-13
0.0045888,3.82937e-13
0.00488185,4.2713e-13
0.00519363,4.78879e-13
0.00552532,5.36208e-13
0.00587819,6.01172e-13
0.0062536,6.75741e-13
0.00665298,7.57611e-13
0.00707787,8.51584e-13
0.0075299,9.58443e-13
0.00801079,1.07872e-12
0.00852241,1.21721e-12
0.00906669,1.37523e-12
0.00964575,1.55778e-12
0.0102618,1.7623e-12
0.0109172,1.99622e-12
0.0116144,2.27284e-12
0.0123562,2.58116e-12
0.0131453,2.93508e-12
0.0139849,3.35041e-12
0.014878,3.83435e-12
0.0158282,4.37132e-12
0.0168392,5.00273e-12
0.0179146,5.71798e-12
0.0190588,6.56074e-12
0.020276,7.53739e-12
0.021571,8.63721e-12
0.0229487,9.92296e-12
0.0244144,1.14588e-11
0.0259737,1.31985e-11
0.0276326,1.52219e-11
0.0293975,1.75555e-11
0.0312751,2.03248e-11
0.0332726,2.36221e-11
0.0353977,2.7419e-11
0.0376585,3.17853e-11
0.0400637,3.7132e-11
0.0426226,4.33782e-11
0.0453449,5.06751e-11
0.0482412,5.95043e-11
0.0513224,7.01419e-11
0.0546004,8.19409e-11
0.0580878,9.64653e-11
0.0617979,1.13565e-10
0.0657451,1.34211e-10
0.0699443,1.58611e-10
0.0744118,1.87447e-10
0.0791646,2.21526e-10
0.0842211,2.63149e-10
0.0896005,3.1179e-10
0.0953235,3.70373e-10
0.101412,4.41663e-10
0.10789,5.26674e-10
0.114781,6.30475e-10
0.122112,7.53764e-10
0.129912,9.04643e-10
0.13821,1.08852e-9
0.147038,1.3182e-9
0.156431,1.60046e-9
0.166423,1.94817e-9
0.177053,2.38977e-9
0.188363,2.94278e-9
0.200396,3.63776e-9
0.213197,4.50844e-9
0.226815,5.6019e-9
0.241304,6.97847e-9
0.256719,8.72688e-9
0.273118,1.09274e-8
0.290565,1.38241e-8
0.309127,1.74663e-8
0.328875,2.25844e-8
0.349886,2.9542e-8
0.37224,3.94455e-8
0.394911,5.43676e-8
0.415441,7.42494e-8
0.428508,8.82854e-8
